k,home_adv,player_boost,starter_boost,rest_factor,form_weight,travel_factor,sos_factor,playoff_hca_factor,pace_factor,division_factor,mean_reversion,b2b_penalty,road_trip_factor,homestand_factor,win_streak_factor,altitude_factor,season_phase_factor,scoring_consistency_factor,rest_advantage_cap,overtime_factor,accuracy,log_loss,brier,score
4.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.4,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.78005962239152,0.6841022671437801,0.24549606715052405,-45.4474207133611
4.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.7,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.78005962239152,0.6840005448025016,0.24544566994645461,-45.44716872734075
4.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,0.7,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.71381252070222,0.6840164149428989,0.2454535172791476,-45.51345506569352
4.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.71381252070222,0.6839272000263139,0.24540940908675213,-45.513234524731544
4.0,15.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.614441868168264,0.6839431051328524,0.24541726802083572,-45.612644471935916
4.0,15.0,0.0,0.0,0.0,10.0,0.0,10.0,0.4,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.78005962239152,0.684077395533915,0.24548343533443365,-45.44735755428065
4.0,15.0,0.0,0.0,0.0,10.0,0.0,10.0,0.4,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.87943027492547,0.6840922630449279,0.24549082185754198,-45.348023834362245
4.0,15.0,0.0,0.0,0.0,10.0,0.0,10.0,0.7,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.68068896985757,0.6839914358806984,0.24544082930678326,-45.546515176676344
4.0,15.0,0.0,0.0,0.0,10.0,0.0,10.0,0.7,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.81318317323617,0.6840063398867511,0.24544822982007997,-45.41405797586423
4.0,15.0,0.0,0.0,0.0,10.0,0.0,10.0,1.0,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.68068896985757,0.6839180202431906,0.2454045294824739,-45.5463336775548
4.0,15.0,0.0,0.0,0.0,10.0,0.0,10.0,1.0,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.74693607154687,0.6839329594263818,0.24541194214607623,-45.48012363918351
4.0,15.0,0.0,0.0,0.0,10.0,15.0,0.0,0.4,0.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.34945346141106,0.6851555978928918,0.24600723665370716,-45.88058272185748
4.0,15.0,0.0,0.0,0.0,10.0,15.0,0.0,0.4,15.0,29.501754263906786,3.591844972727856,23.979042596525375,1.9931568023202413,4.8039967741854035,6.866597303067891,0.18357783453115553,3.575682177754121,1.2388911627450596,0.5588519784847472,2.581626814432742,55.515071215634315,0.6851737628789777,0.24601547328801215,-45.71500615080575
